"","Availability","region","year","policy","agg.land","value","title","percent_change","diff_percent_diff_from_currchange","diff_percent_change"
"20","UNIFORM30","Argentina",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"21","BIODIV","Australia_NZ",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"22","BIODIV30","Australia_NZ",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"23","CURRENT","Australia_NZ",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"24","UNIFORM30","Australia_NZ",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"25","BIODIV","Brazil",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"26","BIODIV30","Brazil",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"27","CURRENT","Brazil",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"28","UNIFORM30","Brazil",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"29","BIODIV","Canada",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"30","BIODIV30","Canada",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"31","CURRENT","Canada",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"32","UNIFORM30","Canada",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"33","BIODIV","Central America and Caribbean",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"34","BIODIV30","Central America and Caribbean",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"35","CURRENT","Central America and Caribbean",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"36","UNIFORM30","Central America and Caribbean",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"37","BIODIV","Central Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"38","BIODIV30","Central Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"39","CURRENT","Central Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"40","UNIFORM30","Central Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"41","BIODIV","China",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"42","BIODIV30","China",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"43","CURRENT","China",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"44","UNIFORM30","China",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"45","BIODIV","Colombia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"46","BIODIV30","Colombia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"47","CURRENT","Colombia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"48","UNIFORM30","Colombia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"49","BIODIV","EU-12",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"50","BIODIV30","EU-12",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"51","CURRENT","EU-12",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"52","UNIFORM30","EU-12",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"53","BIODIV","EU-15",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"54","BIODIV30","EU-15",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"55","CURRENT","EU-15",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"56","UNIFORM30","EU-15",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"57","BIODIV","Europe_Eastern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"58","BIODIV30","Europe_Eastern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"59","CURRENT","Europe_Eastern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"60","UNIFORM30","Europe_Eastern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"61","BIODIV","Europe_Non_EU",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"62","BIODIV30","Europe_Non_EU",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"63","CURRENT","Europe_Non_EU",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"64","UNIFORM30","Europe_Non_EU",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"65","BIODIV","European Free Trade Association",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"66","BIODIV30","European Free Trade Association",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"67","CURRENT","European Free Trade Association",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"68","UNIFORM30","European Free Trade Association",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"69","BIODIV","India",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"70","BIODIV30","India",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"71","CURRENT","India",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"72","UNIFORM30","India",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"73","BIODIV","Indonesia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"74","BIODIV30","Indonesia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"75","CURRENT","Indonesia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"76","UNIFORM30","Indonesia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"77","BIODIV","Japan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"78","BIODIV30","Japan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"79","CURRENT","Japan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"80","UNIFORM30","Japan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"81","BIODIV","Mexico",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"82","BIODIV30","Mexico",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"83","CURRENT","Mexico",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"84","UNIFORM30","Mexico",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"85","BIODIV","Middle East",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"86","BIODIV30","Middle East",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"87","CURRENT","Middle East",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"88","UNIFORM30","Middle East",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"89","BIODIV","Pakistan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"90","BIODIV30","Pakistan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"91","CURRENT","Pakistan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"92","UNIFORM30","Pakistan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"93","BIODIV","Russia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"94","BIODIV30","Russia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"95","CURRENT","Russia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"96","UNIFORM30","Russia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"97","BIODIV","South Africa",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"98","BIODIV30","South Africa",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"99","CURRENT","South Africa",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"100","UNIFORM30","South Africa",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"101","BIODIV","South America_Northern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"102","BIODIV30","South America_Northern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"103","CURRENT","South America_Northern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"104","UNIFORM30","South America_Northern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"105","BIODIV","South America_Southern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"106","BIODIV30","South America_Southern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"107","CURRENT","South America_Southern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"108","UNIFORM30","South America_Southern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"109","BIODIV","South Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"110","BIODIV30","South Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"111","CURRENT","South Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"112","UNIFORM30","South Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"113","BIODIV","South Korea",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"114","BIODIV30","South Korea",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"115","CURRENT","South Korea",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"116","UNIFORM30","South Korea",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"117","BIODIV","Southeast Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"118","BIODIV30","Southeast Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"119","CURRENT","Southeast Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"120","UNIFORM30","Southeast Asia",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"121","BIODIV","Taiwan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"122","BIODIV30","Taiwan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"123","CURRENT","Taiwan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"124","UNIFORM30","Taiwan",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"125","BIODIV","USA",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"126","BIODIV30","USA",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"127","CURRENT","USA",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"128","UNIFORM30","USA",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"129","BIODIV","Africa_Eastern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"130","BIODIV30","Africa_Eastern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"131","CURRENT","Africa_Eastern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"132","UNIFORM30","Africa_Eastern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"133","BIODIV","Africa_Northern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"134","BIODIV30","Africa_Northern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"135","CURRENT","Africa_Northern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"136","UNIFORM30","Africa_Northern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"137","BIODIV","Africa_Southern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"138","BIODIV30","Africa_Southern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"139","CURRENT","Africa_Southern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"140","UNIFORM30","Africa_Southern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"141","BIODIV","Africa_Western",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"142","BIODIV30","Africa_Western",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"143","CURRENT","Africa_Western",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"144","UNIFORM30","Africa_Western",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"145","BIODIV","Argentina",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"146","BIODIV30","Argentina",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"147","CURRENT","Argentina",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"148","UNIFORM30","Argentina",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"149","BIODIV","Australia_NZ",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"150","BIODIV30","Australia_NZ",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"151","CURRENT","Australia_NZ",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"152","UNIFORM30","Australia_NZ",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"153","BIODIV","Brazil",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"154","BIODIV30","Brazil",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"155","CURRENT","Brazil",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"156","UNIFORM30","Brazil",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"157","BIODIV","Canada",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"158","BIODIV30","Canada",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"159","CURRENT","Canada",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"160","UNIFORM30","Canada",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"161","BIODIV","Central America and Caribbean",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"162","BIODIV30","Central America and Caribbean",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"163","CURRENT","Central America and Caribbean",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"164","UNIFORM30","Central America and Caribbean",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"165","BIODIV","Central Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"166","BIODIV30","Central Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"167","CURRENT","Central Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"168","UNIFORM30","Central Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"169","BIODIV","China",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"170","BIODIV30","China",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"171","CURRENT","China",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"172","UNIFORM30","China",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"173","BIODIV","Colombia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"174","BIODIV30","Colombia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"175","CURRENT","Colombia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"176","UNIFORM30","Colombia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"177","BIODIV","EU-12",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"178","BIODIV30","EU-12",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"179","CURRENT","EU-12",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"180","UNIFORM30","EU-12",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"181","BIODIV","EU-15",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"182","BIODIV30","EU-15",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"183","CURRENT","EU-15",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"184","UNIFORM30","EU-15",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"185","BIODIV","Europe_Eastern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"186","BIODIV30","Europe_Eastern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"187","CURRENT","Europe_Eastern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"188","UNIFORM30","Europe_Eastern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"189","BIODIV","Europe_Non_EU",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"190","BIODIV30","Europe_Non_EU",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"191","CURRENT","Europe_Non_EU",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"192","UNIFORM30","Europe_Non_EU",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"193","BIODIV","European Free Trade Association",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"194","BIODIV30","European Free Trade Association",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"195","CURRENT","European Free Trade Association",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"196","UNIFORM30","European Free Trade Association",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"197","BIODIV","India",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"198","BIODIV30","India",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"199","CURRENT","India",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"200","UNIFORM30","India",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"201","BIODIV","Indonesia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"202","BIODIV30","Indonesia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"203","CURRENT","Indonesia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"204","UNIFORM30","Indonesia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"205","BIODIV","Japan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"206","BIODIV30","Japan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"207","CURRENT","Japan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"208","UNIFORM30","Japan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"209","BIODIV","Mexico",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"210","BIODIV30","Mexico",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"211","CURRENT","Mexico",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"212","UNIFORM30","Mexico",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"213","BIODIV","Middle East",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"214","BIODIV30","Middle East",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"215","CURRENT","Middle East",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"216","UNIFORM30","Middle East",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"217","BIODIV","Pakistan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"218","BIODIV30","Pakistan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"219","CURRENT","Pakistan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"220","UNIFORM30","Pakistan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"221","BIODIV","Russia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"222","BIODIV30","Russia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"223","CURRENT","Russia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"224","UNIFORM30","Russia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"225","BIODIV","South Africa",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"226","BIODIV30","South Africa",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"227","CURRENT","South Africa",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"228","UNIFORM30","South Africa",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"229","BIODIV","South America_Northern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"230","BIODIV30","South America_Northern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"231","CURRENT","South America_Northern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"232","UNIFORM30","South America_Northern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"233","BIODIV","South America_Southern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"234","BIODIV30","South America_Southern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"235","CURRENT","South America_Southern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"236","UNIFORM30","South America_Southern",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"237","BIODIV","South Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"238","BIODIV30","South Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"239","CURRENT","South Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"240","UNIFORM30","South Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"241","BIODIV","South Korea",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"242","BIODIV30","South Korea",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"243","CURRENT","South Korea",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"244","UNIFORM30","South Korea",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"245","BIODIV","Southeast Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"246","BIODIV30","Southeast Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"247","CURRENT","Southeast Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"248","UNIFORM30","Southeast Asia",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"249","BIODIV","Taiwan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"250","BIODIV30","Taiwan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"251","CURRENT","Taiwan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"252","UNIFORM30","Taiwan",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"253","BIODIV","USA",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"254","BIODIV30","USA",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"255","CURRENT","USA",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"256","UNIFORM30","USA",1990,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"257","BIODIV","Africa_Eastern",2005,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
